article_no,selling_price,inventory_quantity,inventory_value,4_weeks_sales,MOI,country
11290,29.99,5,149.95,2,2.5,USA
10792,19.99,0,0,0,0,USA
11700,39.99,60,2399.4,34,1.79,USA
11832,7.99,102,814.98,61,1.67,USA
11831,9.99,62,619.38,30,2.1,USA
11533,19.99,116,2318.84,24,4.83,USA
11891,24.99,20,499.8,0,99998,USA
11967,54.99,99,5444.01,72,1.39,USA
11660,49.99,175,8748.25,131,1.81,USA
11871,19.99,61,1219.39,3,20.33,USA
11877,19.99,30,599.7,4,7.5,USA
11818,44.99,5,224.95,0,99998,USA
11630,49.99,26,1299.74,4,6.5,USA
11545,17.99,28,503.72,25,1.12,USA
11851,19.99,18,359.82,1,18,USA
11521,17.99,115,2068.85,11,10.55,USA
11766,19.99,102,2038.98,59,1.75,USA
11829,22.99,119,2735.81,59,2.37,USA
10898,24.99,1,24.99,0,99998,USA
10903,14.99,0,0,0,0,USA
11846,21.99,0,0,0,0,USA
11839,34.99,29,1014.71,6,4.83,USA
11958,19.99,90,1799.1,72,1.33,USA
11943,6.99,65,454.35,10,6.6,USA
11993,49.99,70,3499.3,19,3.68,USA
11800,29.99,4,119.96,2,2,USA
11979,29.99,2,59.98,1,2,USA
11806,44.99,11,494.89,0,99998,USA
11982,44.99,0,0,0,0,USA
11634,29.99,0,0,154,0,USA
11904,39.99,43,1719.57,10,4.3,USA
11923,29.99,49,1469.51,21,2.38,USA
11924,29.99,69,2069.31,37,1.92,USA
11572,29.99,142,4258.58,145,1.02,USA
11528,44.99,155,6973.45,97,1.65,USA
11781,14.99,3,44.97,0,99998,USA
11908,8.99,19,170.81,15,1.27,USA
