sku,article_no,selling_price,inventory_quantity,4_weeks_sales,status,factory,MOI,PO,ETA,market,DUS_quantity,total_cost,MOQ,inventory_value
PB-505PUDE-10910,10910,29.99,10,0.0,STD,Perixx DE,99998.0,,,DE,0.0,11.87,20.0,
PPD-202C-12060,12060,17.99,32,12.0,STD,Donar,2.67,,,DE,730.0,6.44,500.0,
PB-106BND-12063,12063,24.99,18,1.0,NEW,CEZ,18.0,,,DE,20.0,10.35,20.0,
PB-106MSE-12112,12112,34.99,0,4.0,NEW,CEZ,0.0,,,DE,19.0,10.55,20.0,
PM-611B-N11903,11903,9.99,133,173.0,STD,Intech,0.95,,,DE,1099.0,8.58,1000.0,
PB-208BUA-12126,12126,14.99,5,2.0,STD,CEZ,2.5,,,DE,20.0,8.35,20.0,
PB-407BUA-12125,12125,9.99,1,7.0,STD,CEZ,0.29,,,DE,0.0,8.65,20.0,
PB-734PK-BLUS-11988,11988,89.99,5,0.0,STD,SQT,99998.0,,,DE,77.0,35.2,500.0,
PB-734PK-RDUS-11989,11989,49.99,4,0.0,STD,SQT,99998.0,,,DE,261.0,35.2,500.0,
PB-106MCZ-12136,12136,24.99,5,2.0,NEW,CEZ,2.5,,,DE,0.0,10.55,20.0,
PB-612BSE-N12113,12113,44.99,11,1.0,STD,CEZ,11.0,,,DE,24.0,23.25,18.0,
PB-331MWDE-11992,11992,39.99,26,28.0,STD,BOW,0.93,,,DE,339.0,12.76,500.0,
PB-407BCZ-12137,12137,9.99,15,2.0,STD,CEZ,7.5,,,DE,0.0,8.65,20.0,
PB-734PK-BRUS-11987,11987,84.99,4,1.0,STD,SQT,4.0,,,DE,200.0,35.2,500.0,
PB-613BRU-12152,12152,24.99,4,1.0,NEW,CEZ,4.0,,,DE,0.0,21.65,18.0,
PB-613BTR-12153,12153,39.99,6,0.0,NEW,CEZ,99998.0,,,DE,0.0,21.65,18.0,
PB-613BCH-12155,12155,24.99,8,1.0,NEW,CEZ,8.0,,,DE,6.0,21.65,18.0,
PB-613WRU-12159,12159,24.99,4,1.0,EOL,CEZ,4.0,,,DE,0.0,21.02,18.0,
PB-613WTR-12160,12160,19.99,0,0.0,EOL,CEZ,0.0,,,DE,0.0,21.02,18.0,
PB-613WCH-12162,12162,29.99,5,2.0,EOL,CEZ,2.5,,,DE,0.0,21.02,18.0,
PB-813BUS-11976,11976,19.99,31,2.0,STD,BOW,15.5,,,DE,417.0,17.82,500.0,
PB-317RDE-12011,12011,29.99,58,37.0,NEW,Palm max,1.57,,,DE,317.0,8.2,1000.0,
PB-732BDE-11952,11952,26.99,40,37.0,NEW,BOW,1.16,,,DE,328.0,11.99,500.0,
PB-615BUS-11834,11834,49.99,8,0.0,NEW,BOW,99998.0,,,DE,230.0,21.27,1000.0,
